year_of_release,game_with_reviews,avg_critic_score,avg_user_score_scaled,sentiment_gap
2000,104,72.15,75.16,-3.01
2001,262,72.82,75.86,-3.04
2002,462,70.97,76.07,-5.1
2003,505,71.65,78.77,-7.11
2004,485,70.82,77.4,-6.58
2005,570,70.3,75.13,-4.84
2006,534,68.53,72.94,-4.41
2007,595,67.44,69.3,-1.86
2008,603,67.25,70.27,-3.01
2009,568,69.43,69.97,-0.54
2010,441,69.23,68.94,0.29
2011,477,69.5,66.56,2.94
2012,327,73.04,68.3,4.75
2013,276,71.23,65.96,5.27
2014,262,71.44,67.33,4.11
2015,224,73.17,68.48,4.68
2016,229,73.2,67.69,5.5
